date,user_id,monthly_income,monthly_expense_total,savings_rate,budget_goal,financial_scenario,credit_score,debt_to_income_ratio,loan_payment
2019-01-01,1584,3119.58,3212.07,0.38,3676.11,inflation,721.0,0.56,125.77
2019-01-31,1045,3262.44,3732.81,0.1,2607.17,inflation,670.0,0.42,454.19
2019-03-02,1756,2931.2,3335.58,0.15,3004.14,inflation,691.0,0.24,971.82
2019-04-01,1724,3506.79,2327.59,0.17,3346.97,normal,717.0,0.16,482.76
2019-05-01,1600,4606.87,2182.58,0.34,2670.09,inflation,795.0,0.25,263.74
2019-05-31,1985,4028.39,3876.57,0.26,2079.72,recession,643.0,0.43,323.2
2019-06-30,1194,4145.45,3035.61,0.15,2215.8,normal,683.0,0.3,609.88
2019-07-30,1600,3202.37,2689.51,0.25,3650.48,normal,655.0,0.24,524.64
2019-08-29,1835,4765.11,2628.56,0.06,2813.81,normal,715.0,0.52,103.3
2019-09-28,1454,3581.79,3370.8,0.13,2195.92,normal,749.0,0.52,643.48
2019-10-28,1045,3832.71,3230.77,0.23,3178.17,normal,611.0,0.19,316.34
2019-11-27,1357,2136.79,3444.29,0.34,2685.16,normal,669.0,0.39,285.31
2019-12-27,1403,5462.92,3049.29,0.29,2973.21,recession,670.0,0.23,679.87
2020-01-26,1884,2110.66,2707.86,0.24,1420.73,recession,647.0,0.32,331.5
2020-02-25,1675,3507.29,2661.4,0.26,3493.12,normal,739.0,0.4,650.88
2020-03-26,1750,2098.58,4614.09,0.16,2896.61,normal,620.0,0.29,655.47
2020-04-25,1222,3677.65,3489.82,0.3,2068.33,normal,631.0,0.13,511.94
2020-05-25,1050,1884.19,2764.11,0.29,3904.13,normal,676.0,0.41,550.79
2020-06-24,1234,3697.31,3523.56,0.17,3122.47,normal,743.0,0.52,351.55
2020-07-24,1447,4726.33,3948.38,0.14,2539.69,normal,691.0,0.48,369.67
2020-08-23,1347,2911.22,1886.67,0.17,2330.65,normal,631.0,0.52,448.13
2020-09-22,1918,3972.53,2793.73,0.22,2700.51,normal,759.0,0.44,469.72
2020-10-22,1879,5136.85,2474.84,0.28,2837.11,inflation,694.0,0.25,428.59
2020-11-21,1057,4124.22,2712.7,0.26,3029.37,normal,706.0,0.21,308.5
2020-12-21,1129,4622.48,2219.51,0.18,2541.05,normal,661.0,0.46,318.48
2021-01-20,1680,4859.63,2830.71,0.4,2665.05,normal,609.0,0.32,787.17
2021-02-19,1621,5414.37,3328.5,0.1,2707.47,inflation,665.0,0.56,540.72
2021-03-21,1998,6042.51,2246.36,0.05,2185.71,inflation,620.0,0.5,419.3
2021-04-20,1058,4422.94,2989.14,0.32,2506.2,normal,662.0,0.38,440.32
2021-05-20,1334,4012.76,2193.69,0.3,3328.25,normal,617.0,0.53,720.24
2021-06-19,1256,3163.61,4000.56,0.22,2749.02,recession,619.0,0.29,377.91
2021-07-19,1421,2980.36,2083.75,0.15,3026.26,recession,690.0,0.23,365.45
2021-08-18,1456,3515.99,3276.12,0.06,3289.32,inflation,633.0,0.12,479.01
2021-09-17,1974,3855.03,2510.28,0.4,3054.35,normal,736.0,0.52,247.74
2021-10-17,1730,3725.58,3430.91,0.08,2739.51,normal,771.0,0.43,588.68
2021-11-16,1340,5423.61,3424.74,0.39,2646.35,recession,718.0,0.2,330.56
2021-12-16,1794,5273.97,2583.11,0.16,3373.36,recession,602.0,0.44,426.18
2022-01-15,1776,4276.99,2785.21,0.31,3381.24,inflation,731.0,0.22,480.68
2022-02-14,1173,4781.39,3279.82,0.29,2503.33,recession,691.0,0.36,742.09
2022-03-16,1482,4457.69,3522.27,0.3,2887.95,normal,632.0,0.13,390.65
2022-04-15,1913,3782.73,2241.48,0.16,3606.0,normal,689.0,0.5,564.04
2022-05-15,1529,3933.49,4154.43,0.37,3058.63,normal,635.0,0.13,880.34
2022-06-14,1737,4047.29,2359.97,0.07,3092.41,normal,599.0,0.4,602.42
2022-07-14,1205,4076.19,3117.55,0.32,2422.02,normal,728.0,0.59,358.86
2022-08-13,1756,4155.26,3157.23,0.17,2270.44,normal,720.0,0.27,743.05
2022-09-12,1957,1900.97,3577.86,0.4,3450.97,recession,744.0,0.31,548.82
2022-10-12,1983,2402.19,2901.92,0.06,2919.87,normal,705.0,0.18,686.61
2022-11-11,1206,3764.31,2918.07,0.22,2831.01,normal,662.0,0.44,671.29
2022-12-11,1983,3549.62,2797.15,0.07,2304.84,normal,690.0,0.16,639.79
2023-01-10,1984,4722.51,3075.01,0.34,2922.43,normal,655.0,0.33,632.85
2023-02-09,1368,3393.56,3409.64,0.4,3043.73,normal,614.0,0.19,415.4
2023-03-11,1443,4264.95,1818.65,0.09,2964.82,normal,561.0,0.27,153.88
2023-04-10,1506,3170.26,2214.21,0.36,2228.47,recession,661.0,0.28,306.82
2023-05-10,1942,4573.38,3768.84,0.27,2182.29,normal,749.0,0.55,146.4
2023-06-09,1353,2800.92,1663.92,0.24,2369.23,normal,657.0,0.17,125.73
2023-07-09,1477,5578.55,2600.71,0.06,1942.39,recession,700.0,0.45,262.58
2023-08-08,1657,4078.42,2546.59,0.33,2892.13,recession,630.0,0.37,589.78
2023-09-07,1275,4116.03,2919.91,0.14,2697.48,normal,688.0,0.53,485.74
2023-10-07,1908,4268.09,2534.99,0.13,1820.82,recession,750.0,0.5,470.08
2023-11-06,1585,5466.77,3518.15,0.15,3075.67,normal,675.0,0.33,300.01
2019-01-01,1177,3593.89,3401.82,0.25,2155.52,normal,619.0,0.13,725.61
2019-01-31,1900,5216.32,3003.14,0.25,3287.03,normal,695.0,0.25,322.61
2019-03-02,1213,3997.43,2243.56,0.16,2257.94,normal,683.0,0.45,399.33
2019-04-01,1855,4838.69,4392.42,0.26,3274.63,recession,645.0,0.5,723.09
2019-05-01,1094,3613.29,1069.2,0.25,3365.82,recession,649.0,0.48,516.49
2019-05-31,1900,4055.69,4699.43,0.16,1905.94,normal,764.0,0.41,262.43
2019-06-30,1483,4533.65,3390.89,0.16,2109.21,normal,658.0,0.27,568.54
2019-07-30,1512,5532.8,810.91,0.32,2731.72,inflation,691.0,0.14,416.89
2019-08-29,1458,5295.24,1740.05,0.11,3118.97,normal,726.0,0.16,525.73
2019-09-28,1038,3705.56,2972.45,0.18,2874.56,normal,692.0,0.11,686.14
2019-10-28,1595,4521.79,3131.93,0.37,3025.06,normal,645.0,0.41,280.93
2019-11-27,1205,3629.51,3352.63,0.06,2658.66,normal,727.0,0.39,4.73
2019-12-27,1511,2586.17,2534.03,0.09,2409.44,inflation,613.0,0.56,604.13
2020-01-26,1084,3677.05,2276.04,0.17,3074.08,normal,753.0,0.57,366.83
2020-02-25,1799,3285.42,2691.73,0.21,2966.68,recession,714.0,0.47,706.65
2020-03-26,1866,3814.84,2020.61,0.14,2757.38,recession,670.0,0.18,367.81
2020-04-25,1949,2282.15,1808.42,0.08,2036.74,normal,612.0,0.43,573.76
2020-05-25,1730,4003.62,4254.45,0.17,2560.16,normal,628.0,0.46,660.45
2020-06-24,1355,4169.75,3064.38,0.39,3289.28,normal,658.0,0.24,633.69
2020-07-24,1166,4154.59,3070.33,0.37,3168.63,inflation,682.0,0.35,634.79
2020-08-23,1694,5530.99,996.21,0.26,1673.99,inflation,668.0,0.1,563.79
2020-09-22,1230,2249.0,4408.99,0.1,3479.97,inflation,681.0,0.35,832.77
2020-10-22,1306,4108.07,2591.19,0.2,3900.31,recession,668.0,0.1,298.17
